COMPANY,NUM1,NUM2,NUM3,NUM4,NUM5,APPLE_RANKING,BIRCH_RANKING,ACCENTURE_RANKING,ETSY_RANKING,FB_RANKING,GOOGLE_RANKING,ORACLE_RANKING,PAYPAL_RANKING,REDANTLER_RANKING,YAHOO_RANKING
ACCENTURE,2,1,26,5,3,,,,,,,,,,
APPLE,2,0,29,2,2,3,3,3,5,3,3,3,4,3,4
BIRCHBOX,2,3,22,5,4,3,3,3,1,4,3,3,4,3,3
ETSY,2,4,17,0,4,3,3,3,2,3,3,3,3,3,3
FACEBOOK,1,1,19,4,5,3,3,3,3,3,4,4,4,3,3
GOOGLE,1,1,21,4,4,3,3,3,2,5,3,3,4,3,3
ORACLE,1,0,20,2,4,3,3,3,5,5,3,3,3,3,3
PAYPAL,2,1,15,13,4,3,4,3,5,5,3,3,3,3,3
REDANTLER,1,1,29,5,2,3,3,3,3,3,2,3,3,4,3
YAHOO,1,1,24,5,3,3,3,3,3,3,5,5,3,3,3
,,,,,,3,3,3,3,3,5,5,3,4,3
,,,,,,3,3,3,2,3,3,3,3,3,3
,,,,,,4,2,4,3,3,3,3,5,3,3
,,,,,,3,3,3,5,3,3,3,4,3,3
,,,,,,3,3,5,3,3,3,3,4,3,5
,,,,,,3,4,3,3,3,3,3,3,3,5
,,,,,,3,5,5,3,3,3,3,5,3,3
,,,,,,3,5,4,2,1,3,1,5,3,3
,,,,,,5,3,3,1,2,1,3,5,3,3
,,,,,,5,2,3,3,5,3,3,3,5,3
,,,,,,3,3,1,3,4,3,3,3,5,3
,,,,,,3,1,4,3,3,4,3,1,3,3
,,,,,,3,4,3,3,4,3,3,2,3,4
,,,,,,4,3,3,3,3,3,5,3,4,5
,,,,,,3,3,3,3,3,4,5,4,2,3
,,,,,,3,3,1,3,4,3,3,4,3,3
,,,,,,1,3,3,3,3,3,4,3,3,4
,,,,,,3,3,3,3,3,3,3,3,4,3
,,,,,,1,3,4,,3,4,,4,3,3
,,,,,,3,4,2,,3,5,,4,3,4
,,,,,,3,3,3,,5,5,,1,3,3
,,,,,,3,1,3,,,3,,3,3,3
,,,,,,3,2,3,,,,,4,3,1
,,,,,,3,4,3,,,,,4,1,2
,,,,,,3,5,3,,,,,4,3,4
,,,,,,3,3,3,,,,,3,3,
,,,,,,,5,4,,,,,,3,
,,,,,,,,5,,,,,,4,
,,,,,,,,,,,,,,3,
